"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"MUMI","1_nSPC","Global",2.67,0.19,0.03,0.03,0.01,0.01,0,0
"MUVA","1_nSPC","Global",2.67,0.19,0.08,0.08,0.02,0.02,0,0
"MYAD","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"MYAM","1_nSPC","Global",2.67,0.19,0.16,0.16,0.02,0.02,0,0
"MYBE","1_nSPC","Global",2.67,0.19,0.29,0.29,0.02,0.02,0.01,0.01
"MYEA","1_nSPC","Global",2.67,0.19,0.08,0.08,0.03,0.03,0,0
"MYKU","1_nSPC","Global",2.67,0.19,0.1,0.1,0.01,0.01,0,0
"MYMA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"MYMU","1_nSPC","Global",2.67,0.19,0,0,0.01,0.01,0,0
"MYSP","1_nSPC","Global",2.67,0.19,0.06,0.06,0.02,0.02,0,0
"MYVI","1_nSPC","Global",2.67,0.19,0.02,0.02,0.02,0.02,0,0
"MYWO","1_nSPC","Global",2.67,0.19,0.02,0.02,0.02,0.02,0,0
"NAAN","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"NAAN","2_TOW","Global",2.67,0.19,0,0.02,0,0,0,0
"NABR","1_nSPC","Global",2.67,0.19,0.09,0.09,0,0,0,0
"NABR","2_TOW","Global",2.67,0.19,0.01,0.15,0,0,0,0
"NACA","1_nSPC","Global",2.67,0.19,0,0,0.01,0.01,0,0
"NACA","2_TOW","Global",2.67,0.19,0,0.03,0,0,0,0
"NAHE","1_nSPC","Global",2.67,0.19,0.22,0.22,0.01,0.01,0,0
"NAHE","2_TOW","Global",2.67,0.19,0.12,0.65,0,0.01,0,0.01
"NALI","1_nSPC","Global",2.67,0.19,0.54,0.54,0.01,0.01,0,0
"NASP","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"NASP","2_TOW","Global",2.67,0.19,0.01,0.07,0,0,0,0
"NATO","2_TOW","Global",2.67,0.19,0,0.01,0,0,0,0
"NAUN","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"NAUN","2_TOW","Global",2.67,0.19,0,0.02,0,0,0,0
"NAVL","1_nSPC","Global",2.67,0.19,0.16,0.16,0,0,0,0
"NAVL","2_TOW","Global",2.67,0.19,0.05,0.45,0,0.01,0,0
"NEAR","1_nSPC","Global",2.67,0.19,0.04,0.04,0.01,0.01,0,0
"NEED","1_nSPC","Global",2.67,0.19,0,0,0.03,0.03,0,0
"NEMA","1_nSPC","Global",2.67,0.19,0.09,0.09,0.01,0.01,0,0
"NEOP","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"NESA","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"NESP","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"NOTA","1_nSPC","Global",2.67,0.19,0.06,0.06,0,0,0,0
"ODNI","1_nSPC","Global",2.67,0.19,0.07,0.07,0.09,0.09,0.01,0.01
"OPFA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"OPPU","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
