"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACXA","1_nSPC","Global",2.33,3.06,0.02,0.02,4.44,4.44,0.1,0.1
"ACXA","2_BLT","Global",2.33,3.06,0,0.02,2.07,0.68,0,0.01
"AEOC","1_nSPC","Global",2.33,3.06,0.01,0.01,27.32,27.32,0.28,0.28
"AEOC","2_BLT","Global",2.33,3.06,0,0.02,27.02,8.82,0.05,0.16
"ALSC","1_nSPC","Global",2.33,3.06,0,0,0.28,0.28,0,0
"ALSC","2_BLT","Global",2.33,3.06,0,0,0.19,0.06,0,0
"AMBI","1_nSPC","Global",2.33,3.06,0,0,0,0,0,0
"ANCH","1_nSPC","Global",2.33,3.06,0.15,0.15,0.05,0.05,0.01,0.01
"ANCO","1_nSPC","Global",2.33,3.06,0,0,0.02,0.02,0,0
"ANCU","1_nSPC","Global",2.33,3.06,0.27,0.27,0.22,0.22,0.06,0.06
"ANCU","2_BLT","Global",2.33,3.06,0.05,0.34,0.31,0.1,0.01,0.03
"ANSP","1_nSPC","Global",2.33,3.06,0,0,0,0,0,0
"APAR","1_nSPC","Global",2.33,3.06,0.09,0.09,0.26,0.26,0.02,0.02
"APFU","1_nSPC","Global",2.33,3.06,0.07,0.07,1.35,1.35,0.09,0.09
"APFU","2_BLT","Global",2.33,3.06,0.02,0.16,0.92,0.3,0.02,0.05
"APSP","1_nSPC","Global",2.33,3.06,0,0,0.04,0.04,0,0
"APVI","1_nSPC","Global",2.33,3.06,0.55,0.55,18.28,18.28,10.13,10.13
"APVI","2_BLT","Global",2.33,3.06,0.13,0.61,5.73,1.87,0.76,1.14
"ARHI","1_nSPC","Global",2.33,3.06,0.01,0.01,0.73,0.73,0.01,0.01
"ARHI","2_BLT","Global",2.33,3.06,0,0.02,0.59,0.19,0,0
"ARME","1_nSPC","Global",2.33,3.06,0.01,0.01,8.98,8.98,0.06,0.06
"ATIN","1_nSPC","Global",2.33,3.06,0,0,2.92,2.92,0,0
"AUCH","1_nSPC","Global",2.33,3.06,0.12,0.12,0.29,0.29,0.03,0.03
"AUCH","2_BLT","Global",2.33,3.06,0.03,0.22,0.14,0.05,0,0.01
"BAPO","1_nSPC","Global",2.33,3.06,0,0,0.42,0.42,0,0
"BIGE","2_BLT","Global",2.33,3.06,0,0,0.17,0.06,0,0
"BLEN","1_nSPC","Global",2.33,3.06,0.02,0.02,0.04,0.04,0,0
"BOAL","1_nSPC","Global",2.33,3.06,0.79,0.79,2.57,2.57,2.04,2.04
"BOAL","2_BLT","Global",2.33,3.06,0.28,0.8,1.51,0.49,0.43,0.4
"BOSA","1_nSPC","Global",2.33,3.06,0,0,0,0,0,0
"BRMU","1_nSPC","Global",2.33,3.06,0,0,4.52,4.52,0.02,0.02
"CAAB","1_nSPC","Global",2.33,3.06,0.05,0.05,96.38,96.38,4.77,4.77
"CAAB","2_BLT","Global",2.33,3.06,0.01,0.06,27.97,9.13,0.16,0.51
"CAAM","1_nSPC","Global",2.33,3.06,0.03,0.03,0.02,0.02,0,0
"CACA","1_nSPC","Global",2.33,3.06,0.12,0.12,0.76,0.76,0.09,0.09
"CACA","2_BLT","Global",2.33,3.06,0.02,0.16,1.3,0.42,0.02,0.07
"CACO","1_nSPC","Global",2.33,3.06,0.15,0.15,0.07,0.07,0.01,0.01
"CACO","2_BLT","Global",2.33,3.06,0,0,0.44,0.14,0,0
"CADU","1_nSPC","Global",2.33,3.06,0.07,0.07,0.66,0.66,0.05,0.05
"CADU","2_BLT","Global",2.33,3.06,0.01,0.12,0.69,0.23,0.01,0.03
"CAFE","1_nSPC","Global",2.33,3.06,0.01,0.01,4.16,4.16,0.05,0.05
"CAFE","2_BLT","Global",2.33,3.06,0,0.02,0.95,0.31,0,0.01
"CAGA","1_nSPC","Global",2.33,3.06,0.14,0.14,92.04,92.04,12.78,12.78
"CAGA","2_BLT","Global",2.33,3.06,0.01,0.13,42.13,13.75,0.63,1.84
"CAIG","1_nSPC","Global",2.33,3.06,0.22,0.22,159.44,159.44,34.28,34.28
"CAIG","2_BLT","Global",2.33,3.06,0.08,0.47,30.88,10.08,2.45,4.73
"CAJA","1_nSPC","Global",2.33,3.06,0.55,0.55,0.04,0.04,0.02,0.02
"CALI","1_nSPC","Global",2.33,3.06,0,0,51.64,51.64,0.01,0.01
"CALU","1_nSPC","Global",2.33,3.06,0,0,8.09,8.09,0.02,0.02
"CAMC","1_nSPC","Global",2.33,3.06,0,0,0,0,0,0
"CAME","1_nSPC","Global",2.33,3.06,0.35,0.35,23.11,23.11,8.12,8.12
"CAME","2_BLT","Global",2.33,3.06,0.1,0.53,60.86,19.87,6,10.52
"CAOR","1_nSPC","Global",2.33,3.06,0.06,0.06,4.81,4.81,0.28,0.28
"CAOR","2_BLT","Global",2.33,3.06,0.01,0.13,0.93,0.3,0.01,0.04
"CARD","1_nSPC","Global",2.33,3.06,0.01,0.01,0.19,0.19,0,0
"CARI","1_nSPC","Global",2.33,3.06,0,0,0.08,0.08,0,0
"CASA","1_nSPC","Global",2.33,3.06,0.08,0.08,0.12,0.12,0.01,0.01
"CASE","1_nSPC","Global",2.33,3.06,0.01,0.01,196.93,196.93,1.19,1.19
"CASO","1_nSPC","Global",2.33,3.06,0,0,0.16,0.16,0,0
"CATY","1_nSPC","Global",2.33,3.06,0.03,0.03,0,0,0,0
"CAVA","1_nSPC","Global",2.33,3.06,0,0,0.01,0.01,0,0
"CAVE","1_nSPC","Global",2.33,3.06,0.04,0.04,0.03,0.03,0,0
"CAZO","1_nSPC","Global",2.33,3.06,0.14,0.14,0.56,0.56,0.08,0.08
"CAZO","2_BLT","Global",2.33,3.06,0.02,0.21,0.38,0.13,0.01,0.03
"CEAR","1_nSPC","Global",2.33,3.06,0.04,0.04,3.21,3.21,0.12,0.12
"CEAR","2_BLT","Global",2.33,3.06,0,0.02,0.3,0.1,0,0
"CEFI","1_nSPC","Global",2.33,3.06,0.05,0.05,0.04,0.04,0,0
"CEFL","1_nSPC","Global",2.33,3.06,0,0,0.07,0.07,0,0
"CEIN","1_nSPC","Global",2.33,3.06,0.01,0.01,0.1,0.1,0,0
"CELO","1_nSPC","Global",2.33,3.06,0,0,0.01,0.01,0,0
"CEPO","1_nSPC","Global",2.33,3.06,0.43,0.43,0.2,0.2,0.09,0.09
"CHAC","1_nSPC","Global",2.33,3.06,0.03,0.03,0.05,0.05,0,0
"CHAG","1_nSPC","Global",2.33,3.06,0.07,0.07,0.02,0.02,0,0
"CHAU","1_nSPC","Global",2.33,3.06,0.34,0.34,0.28,0.28,0.09,0.09
"CHCI","1_nSPC","Global",2.33,3.06,0,0,0.04,0.04,0,0
"CHEP","1_nSPC","Global",2.33,3.06,0.01,0.01,0.21,0.21,0,0
"CHFR","1_nSPC","Global",2.33,3.06,0.54,0.54,0.12,0.12,0.07,0.07
"CHHA","1_nSPC","Global",2.33,3.06,0.4,0.4,0.11,0.11,0.04,0.04
"CHIN","1_nSPC","Global",2.33,3.06,0.01,0.01,0.18,0.18,0,0
"CHIN","2_BLT","Global",2.33,3.06,0,0.02,0.24,0.08,0,0
"CHKL","1_nSPC","Global",2.33,3.06,0.14,0.14,0.05,0.05,0.01,0.01
